count,year,for_id
182,1970,802
26,1953,802
3,1952,802
732,1989,804
696,1983,803
48,1960,803
594,1980,803
340,1971,803
66,1965,803
42,1959,803
712,1978,803
44,1957,803
84,1964,803
667,1981,803
540,1976,803
424,1975,803
446,1977,803
454,1974,803
25,1961,803
338,1972,803
63,1963,803
56,1962,803
384,1973,803
36,1958,803
682,1979,803
575,1982,803
658,1974,801
413,1970,801
308,1984,806
162,1977,806
197,1980,806
590,1988,806
291,1983,806
171,1978,806
448,1986,806
236,1981,806
209,1982,806
176,1979,806
557,1987,806
337,1985,806
19,1974,805
20,1973,805
22,1975,805
20,1972,805
235,1968,803
250,1970,803
214,1969,803
97,1976,806
114,1975,806
137,1970,8
41,1962,8
92,1967,8
49,1961,8
37,1956,8
21,1954,8
90,1969,8
51,1957,8
43,1964,8
40,1960,8
50,1959,8
22,1955,8
39,1958,8
49,1963,8
92,1966,8
58,1965,8
86,1968,8
256,1965,801
340,1966,801
534,1968,801
181,1963,801
178,1964,801
473,1967,801
28,2020,8
93,1974,806
477,1987,804
347,1985,804
6,2020,802
27,2020,801
16,1966,803
17,1967,803
253,1981,804
543,1986,804
337,1984,804
353,1983,804
170,1979,804
212,1980,804
229,1982,804
81,1976,804
152,1977,804
188,1978,804
43,1972,804
47,1974,804
19,1973,804
38,1971,804
120,1975,804
23,1969,804
39,1970,804
80,1962,801
83,1961,801
46,1959,801
55,1960,801
36,1958,801
1653,2019,1006
4640,2017,1006
4941,2013,1006
4728,2015,1006
789,1997,1006
4123,2009,1006
1262,2001,1006
425,1995,1006
3907,2011,1006
2309,2003,1006
4822,2007,1006
905,1999,1006
3563,2005,1006
333,1993,1006
2179,2007,1005
2999,2011,1005
2944,2012,1005
484,2000,1005
581,1999,1005
2440,2010,1005
2853,2013,1005
998,2003,1005
548,1997,1005
997,2004,1005
2359,2017,1005
590,1996,1005
732,2002,1005
1149,2006,1005
549,2001,1005
1194,2005,1005
2691,2015,1005
1895,2008,1005
2465,2009,1005
4428,2008,1006
4116,2006,1006
3748,2010,1006
4309,2014,1006
4175,2016,1006
4651,2012,1006
2567,2002,1006
2266,2000,1006
4271,2018,1006
3539,2004,1006
914,1996,1006
1151,1998,1006
306,1994,1006
3003,2018,1005
610,2019,1005
221,1991,1005
